Marker Name,Accession,Code.Class,FC1D4.001.B2W2,FC1D4.002.B2W4,FC1D4.004.B1W1,FC1D4.007.B1W1,FC1D4.008.B4W1,FC1D4.010.B1W1,FC1D4.012.B1W1,FC1D4.013.B4W1,FC1D4.015.B2W2,FC1D4.016.B2W4,FC1D4.018.B2W2,FC1D4.020.B2W2,FC2D4.001.B2W4,FC2D4.003.B1W1,FC2D4.006.B1W1,FC2D4.007.B2W4,FC2D4.009.B1W1,FC2D4.011.B1W1,FC2D4.012.B4W1,FC2D4.014.B1W1,FC2D4.015.B2W4,FC2D4.017.B1W1,FC2D4.018.B2W4,FC2D4.020.B2W4,FC3D5.001.B4W1,FC3D5.003.B2W4,FC3D5.006.B2W2,FC3D5.008.B1W1,FC3D5.009.B2W2,FC3D5.011.B2W2,FC3D5.013.B1W1,FC3D5.014.B2W2,FC3D5.015.B4W1,FC3D5.017.B2W2,FC3D5.019.B2W2,FC3D5.021.B1W1,FC4D5.002.B2W2,FC4D5.003.B4W1,FC4D5.006.B2W4,FC4D5.008.B2W2,FC4D5.009.B2W4,FC4D5.011.B2W4,FC4D5.013.B2W2,FC4D5.014.B2W4,FC4D5.016.B1W1,FC4D5.017.B2W4,FC4D5.019.B2W4,FC4D5.021.B2W2,FC5D5.002.B4W1,FC5D5.004.B2W2,FC5D5.006.B4W1,FC5D5.008.B2W4,FC5D5.009.B4W1,FC5D5.011.B4W1,FC5D5.013.B2W4,FC5D5.015.B1W1,FC5D5.016.B2W2,FC5D5.018.B1W1,FC5D5.020.PRE,FC5D5.021.B2W4
IL12B,NM_002187.2,Endogenous,3.116031993,3.838951767,4.5360529,4.137503524,4.336283388,3.46727948,3.982765463,4.110196178,4.42693562,4.115199749,3.85698569,4.716442237,5.118110506,5.054848477,4.517905554,5.202809492,4.631686366,4.46727948,4.817111573,4.950468414,4.203984166,5.139551352,6.272209861,4.427606173,2.358958826,3.753818443,2.422233001,3.403267722,3.13093087,3.10433666,4.052241981,3.010779839,4.473786912,2.627606838,3.173127433,3.891419187,5.096346199,5.516330387,4.934044647,4.970853654,3.925999419,4.324090516,4.271276259,4.489928219,5.792595103,6.3105219,4.99095486,6.193180354,4.177120503,3.587364991,4.133399125,4.531069493,3.456806149,4.116863758,3.82984956,4.519793486,4.516015147,5.504620392,3.935459748,3.601696516
IL13,NM_002188.2,Endogenous,4.506525779,3.56315813,3.86393845,2.883620816,3.786596362,2.845991771,2.895302621,4.813011549,2.615887074,2.851998837,3.85698569,2.754887502,4.250961574,3.680324357,3.578938713,4.284662185,2.797012978,3.681449265,2.831877241,2.763411574,3.364572432,2.831877241,6.462543171,3.541019153,2.150559677,3.085764554,2.166715445,3.250961574,2.498250868,2.659924558,2.700439718,2.841973119,3.298658316,3.132576843,3.023255352,3.444932049,3.508428653,4.618238656,5.440620048,2.550900665,4.384740587,3.193771743,3.344828497,2.195347598,2.211012193,4.710944155,3.458119481,3.246408087,3.592158002,1.910732662,3.622930351,4.96208625,2.805292456,4.029452886,4.038260575,1.500802053,3.463360886,3.442280035,2.403267722,2.280956314
IL15,NM_000585.3,Endogenous,6.826294245,6.993787563,6.708463165,5.629939409,7.72900887,6.491051376,6.5987225,6.265286858,6.451705665,6.133604623,6.433460256,6.198297695,6.871720462,6.124741692,6.227471546,6.934870291,5.529508641,6.813781191,6.69543711,6.358958826,6.942631793,6.81134258,5.3305584,5.780572574,7.224966365,6.638653116,6.015916772,6.446752485,6.36509759,6.503507754,6.162492037,6.375560793,6.900625333,6.82858081,6.211401637,6.752213368,6.948016737,7.054631449,6.138118178,6.083213368,5.704041955,6.600656308,6.272583133,6.044612693,6.533251852,6.819668183,6.131342539,6.351557662,7.466953337,5.833902077,6.517275693,7.729144865,6.536674618,7.07585348,6.203984166,6.331275267,5.998195503,6.130519083,6.221683781,5.723831566
IL17A,NM_002190.2,Endogenous,4.506525779,3.66106548,4.74899785,4.730096466,4.125155131,4.399854674,4.250203656,5.638073837,4.42693562,4.459431619,4.065227623,4.778208576,5.272769732,5.054848477,5.728736843,5.008988783,4.560714954,4.933572638,5.012121673,4.950468414,4.731183242,5.282439805,6.565749479,5.228433921,3.814550423,4.474436043,3.816599707,4.255500733,3.13093087,3.54225805,4.340562269,3.830863757,4.473786912,3.66106548,4.234961095,4.444269502,4.958842675,5.846744023,5.258895755,4.660495132,4.384740587,4.991408467,4.831370588,4.82984956,5.970163425,5.683134985,5.265286858,6.624100895,4.09423607,4.969012308,4.203201156,5.434294618,4.804776378,4.837943242,4.942514505,4.629939409,4.915520901,5.504620392,5.051807107,4.247927513
IL18,NM_001562.2,Endogenous,6.206526016,5.295355693,4.681449265,5.199672345,4.269033146,5.391973883,4.595742339,6.455491621,4.338424415,4.115199749,6.642701572,3.994579724,6.177718511,5.745775149,6.469723208,5.202809492,4.631686366,4.765004246,4.11353382,6.078951341,4.009884589,5.326968712,5.3305584,3.541019153,5.772413555,5.399171094,5.689858236,3.783456654,3.568032105,4.08491466,5.605849867,5.930264245,3.833902077,5.268658955,4.746850183,5.071676874,4.636334602,5.588564737,5.639810978,5.129695157,3.784503983,4.949534933,5.111448698,5.864433796,4.258518925,6.204962331,4.699329526,6.351557662,4.09423607,4.054848477,5.532940288,5.622637567,3.456806149,4.615298579,4.8899602,4.918863237,4.516015147,6.320665184,3.865918815,3.192194165
IL18RAP,NM_003853.2,Endogenous,10.81836648,12.37732171,8.988088174,10.41023933,12.47523691,9.903565563,10.00087324,10.53271631,10.8550086,8.934752371,11.33930444,9.326227226,12.34147435,11.71770212,11.15609572,10.34169672,9.449437568,9.939153101,9.871905238,11.08276778,11.11285649,10.7611689,10.63491086,8.754854106,10.89424178,11.89481776,10.92000293,11.01354601,9.019701914,9.829215325,10.7658165,10.99013943,11.50944843,10.82182978,8.60936345,10.65722912,10.99242148,11.94501579,11.12063965,10.84347357,10.30020382,10.0390287,9.656049392,10.95123371,9.203910777,14.07862701,8.447041888,10.61037895,11.67379931,8.361812215,10.89646864,13.03751435,9.812899275,9.61845892,10.51596588,10.69926879,8.855834011,10.61856904,8.967687386,8.62497818
IL1A,NM_000575.3,Endogenous,3.314696526,1.807354922,4.373648211,3.486714373,3.581351247,3.361768359,4.040015679,5.471837762,3.916476644,4.048759312,2.459431619,4.046141782,4.419538892,5.145269857,4.334139179,4.659353759,3.221877081,4.672425342,4.324090516,4.410748128,4.009884589,4.670160514,6.351380981,4.477677328,3.666756592,3.613531653,2.82984956,3.403267722,3.469885976,3.339137385,3.790772038,3.419538892,3.012568674,3.802193217,2.855989697,3.792855352,4.298658316,5.274261661,5.158660175,4.589763487,3.627606838,3.3305584,4.831370588,4.09592442,5.072963272,3.232660757,4.913607512,6.424754167,4.762348816,3.473786912,3.982765463,4.865918815,3.168321116,4.116863758,3.713695815,4.199279721,4.332707934,4.373648211,3.935459748,3.495695163
IL1B,NM_000576.2,Endogenous,3.912649865,3.343407822,5.542877099,4.583759754,2.887525271,6.427606173,4.095080492,6.265286858,4.510329019,3.368768349,4.685379552,3.350497247,4.830863757,4.185866545,6.060047384,6.038260575,4.23572706,5.120600774,3.726831217,4.758089934,5.067810784,4.802710219,5.547819957,2.475084883,4.29130886,4.893362211,5.535430915,3.078951341,3.568032105,6.454340425,4.635173947,4.077242999,3.163498732,4.257764969,4.3652726,5.341985747,4.298658316,5.657640005,6.818390444,6.801288017,6.767522386,4.949534933,4.831370588,3.553360503,3.57167681,4.363871925,3.753818443,5.293149737,3.814550423,3.212569339,5.891662208,3.914564523,4.08491466,4.674121633,3.937344392,5.894817763,3.783456654,5.150965784,5.142004916,3.122672719
IL1R1,NM_000877.2,Endogenous,4.239550797,3.838951767,4.610581958,3.783456654,4.918863237,3.655351829,3.228049048,5.283921772,4.383358695,3.255500733,4.408032466,2.754887502,3.760220946,2.897240426,4.334139179,4.44625623,3.815575429,4.017921908,3.084064265,3.412781525,4.110196178,4.524815928,5.478971805,2.014355293,3.949534933,4.207892852,3.816599707,4.08491466,3.90303827,2.014355293,3.060047384,3.160274831,4.00270252,3.3305584,3.752748591,3.444932049,4.574707046,4.871350841,3.9202933,4.660495132,3.250961574,3.56924803,3.723558561,3.553360503,3.776103988,4.857483428,3.753818443,4.474436043,4.09423607,4.406672716,3.722466024,4.531069493,3.904965719,3.936402378,2.927896454,3.786596362,3.683696454,3.442280035,3.363171077,2.715893371
IL1RAP,NM_002182.2,Endogenous,8.581803149,8.835734632,8.388706169,8.177718511,9.212715235,8.41502341,8.151067292,7.936755705,8.111813812,8.245552706,8.53904246,7.54874486,8.480467098,7.831370588,8.315828851,8.671717965,8.017253839,7.937344392,8.216115299,8.293425666,8.187352073,8.232133079,8.68232749,7.488884504,8.628992257,7.873382589,8.008820758,8.62139257,7.906048778,8.267723052,8.395491293,8.404332646,8.584436422,8.34314129,8.106170317,8.367676837,8.657104039,8.897663974,8.480386311,8.38806035,7.938403424,8.013071384,8.434211203,8.008204497,8.190762994,8.897331196,8.154261172,8.644108639,8.868637384,8.135401478,8.293425666,9.17544975,8.264301843,8.578448174,8.279006914,8.210525241,8.129437583,8.476462699,8.044721967,7.657997205
IL1RN,NM_173842.1,Endogenous,2.885574364,3.220329955,5.150965784,3.910732662,3.878725341,5.938521046,3.654206378,4.813011549,4.66448284,2.503348735,5.117695043,2.485426827,3.267535798,3.415488271,6.63778411,7.573874366,4.486070744,3.477677328,3.932628157,2.956056652,4.009884589,4.670160514,6.188440489,4.017921908,4.185866545,4.552745937,4.669026766,4.255500733,5.069100632,4.938285792,4.524815928,4.286881148,2.845991771,5.115615931,4.484782623,6.071676874,5.139551352,5.904484098,5.847245307,4.728464765,5.446587085,5.183486514,4.271276259,4.045268215,4.037382222,5.328764672,4.446917865,5.441284272,3.592158002,3.349082146,4.851998837,4.255500733,3.456806149,5.118110506,4.038260575,5.545350645,3.683696454,5.504620392,4.851998837,3.495695163
IL2,NM_000586.2,Endogenous,4.030336078,2.769771739,4.610581958,4.23878686,3.786596362,3.125981654,3.922197848,4.503984704,4.292045492,4.178714641,3.85698569,4.549669171,4.521678952,5.100977648,5.081510068,4.901590992,4.631686366,4.161081482,4.418864577,4.475084883,4.203984166,4.924099886,6.099715999,4.147306699,3.313245852,4.106850796,3.724650272,3.250961574,3.568032105,3.339137385,4.130107179,3.295723025,3.423578171,3.802193217,3.931683057,4.508428653,5.051807107,5.359310317,3.792855352,4.352617299,3.627606838,3.866907978,4.483493351,4.370164281,5.447579197,5.224580566,5.134631671,6.274634403,3.913607512,4.467931546,4.060047384,4.651338766,3.698218478,4.674121633,4.526068812,4.269033146,5.155830172,4.682011391,4.441616269,3.321928095
IL21,NM_021803.2,Endogenous,2.885574364,2.114367025,2.568032105,2.272023189,2.695993813,2.845991771,2.763411574,4.110196178,2.889473543,3.255500733,3.85698569,3.82984956,2.298658316,3.415488271,4.334139179,2.987320866,2.526068812,2.384049807,2.526068812,1.963474124,2.498250868,3.257010618,4.023255352,4.901108243,2.97819563,3.283921772,3.145677455,2.066950244,3.252476214,2.659924558,1,1.464668267,1.867896464,3.3305584,2.448900951,2.570462931,1.028569152,3.9202933,3.321928095,2.214124805,1.941106311,2.875780063,2.017921908,2.799087306,1.895302621,3.906890596,2.771885579,2.392317423,3.007195501,1.50589093,3.722466024,3.46727948,2.998195503,2.61117238,2.927896454,2.887525271,1.90303827,3.736604875,2.403267722,3.495695163
IL22,NM_020525.4,Endogenous,3.489286023,3.456806149,2.232660757,3.313245852,3.054848477,3.822730148,3.014355293,5.92243574,3.119356177,3.748461233,3.613531653,2.981852653,3.918386234,3.263034406,4.680324357,3.357552005,3.932628157,3.10433666,3.084064265,3.412781525,4.110196178,3.257010618,5.250203656,3.339137385,2.845991771,3.753818443,2.996388746,3.250961574,2.684818738,2.475084883,2.891419187,2.653060017,2.845991771,3.3305584,3.434294618,3.444932049,2.364572432,1.748461233,3.651912745,3.843983844,3.250961574,2.875780063,2.827819025,2.528571319,3.046141782,3.608809243,3.085764554,4.474436043,2.327687364,3.061776198,3.517275693,4.531069493,1,3.028569152,2.702657543,3.687060688,1.90303827,3.442280035,3.260025656,2.807354922
IL22RA2,NM_181309.1,Endogenous,2.272023189,2.582556003,3.070389328,2.61117238,2.477677328,2.283921772,1.839959587,4.813011549,2.615887074,2.039138394,1.700439718,1.443606651,2.86393845,2.897240426,4.123500664,3.510961919,2.526068812,2.601696516,1.895302621,3.276496666,2.767654798,2.831877241,3.572889668,2.475084883,1,2.247927513,2.166715445,2.066950244,1.735522177,1,1.500802053,1.867896464,2.657640005,2.627606838,1.475084883,2.792855352,2.039138394,2.513490746,3.122672719,3.422233001,2.739848103,2.875780063,4.271276259,2.370164281,1.895302621,4.152994605,1.416839742,4.474436043,2.327687364,2.702657543,1.851998837,3.708187236,2.805292456,2.833902077,2.927896454,2.220329955,2.693765712,3.442280035,2.192194165,1.438292852
IL23A,NM_016584.2,Endogenous,6.279657007,6.46515823,7.242602506,6.68846014,6.501120634,6.440620048,6.100136671,7.255783957,6.533874777,7.065873847,6.987548259,6.378511623,5.63343121,6.626439137,7.244221105,5.3323499,6.891662208,6.641401521,6.306881946,7.168521699,6.5360529,7.195347598,7.200162974,5.967399199,6.509695842,6.360364277,6.313608657,6.896877285,7.307701737,6.101818134,7.076067339,5.603774686,7.033202726,7.01346226,6.974988112,7.350320435,7.384222533,6.608809243,5.781359714,6.921721947,5.537606691,6.813139851,7.319401167,6.573344228,7.814165859,5.832383717,7.236970886,7.924753132,6.840463234,7.578636862,6.836050355,5.735792928,6.804905415,6.539158811,6.906890596,6.426264755,7.743959212,6.838699702,6.390942773,5.56315813
IL23R,NM_144701.2,Endogenous,6.776630423,9.23081304,4.934988202,7.626658153,9.521659324,4.289834465,3.725741157,6.455491621,7.641762764,5.999774561,7.178814216,3.770829046,6.708187236,6.252286971,7.135965742,7.336640446,7.467768557,4.71918344,4.591559746,6.289465631,8.187352073,7.98293655,6.053111336,4.017921908,7.218296831,6.792855352,6.638363506,8.389179586,6.72369507,4.148120631,7.189231549,5.629648044,8.726729059,7.754620312,5.481557281,8.143842354,8.801676029,6.863566829,7.205255651,7.944507097,6.650046479,4.11353382,7.373474214,5.533874777,6.871720462,8.075265203,5.64731451,8.338290694,9.292965755,5.166313748,7.570159302,9.549149319,7.497372855,5.888986721,7.215775653,7.697384631,5.597531174,7.170525999,4.238022518,6.120186028
IL3,NM_000588.3,Endogenous,3.116031993,1,2.841973119,2.61117238,2.695993813,1.731183242,1.839959587,5.067810784,1.545968369,2.289834465,3.320484678,2.153805336,3.379898164,1.655351829,4.334139179,3.650764559,3.393690764,2.13093087,2.137503524,2.280956314,1.731183242,2.558267634,2.422233001,2.263034406,1.250961574,3.085764554,2.641546029,1.646162657,2.286881148,1,2.891419187,1.464668267,1.469885976,3.132576843,2.448900951,2.792855352,2.364572432,1.748461233,1.195347598,1.14404637,2.3950628,1.49057013,2.827819025,2.195347598,2.211012193,3.906890596,1.807354922,4.168321116,2.327687364,2.702657543,2.422233001,1.589763487,1.996388746,2.347665656,2.702657543,2.477677328,2.693765712,3.736604875,2.748461233,1.650764559
IL4,NM_000589.2,Endogenous,3.116031993,3.66106548,4.74899785,4.23878686,4.125155131,3.822730148,3.922197848,6.04592344,5.046578367,4.818646083,4.065227623,4.837438715,5.242983516,5.270902649,5.652199648,5.489286023,4.560714954,4.623515741,4.222650022,4.904965719,4.731183242,4.924099886,6.532161085,4.746312766,3.410069692,3.880685525,3.40599236,4.609991295,3.90303827,3.800123353,3.586164246,1.867896464,4.687060688,4.156234798,3.308885057,4.508428653,5.300123725,5.723558561,5.105594276,4.069530325,3.784503983,3.95419631,4.831370588,4.045268215,5.354381632,5.328764672,5.100136671,6.193180354,4.762348816,4.637494325,4.615887074,5.680324357,3.698218478,4.422233001,4.593353771,5.003602237,4.679198571,4.5360529,4.577126661,3.601696516
